ID,DO-BR-FL_11,DO-BR-FL_31,DO-BR-FL_51,DO-BR-FL_64
ID,Display Order: Block Randomizer FL_11,Display Order: Block Randomizer FL_31,Display Order: Block Randomizer FL_51,Display Order: Block Randomizer FL_64
285,FL_16|FL_21|FL_14|FL_19,FL_41|FL_32|FL_38,FL_52|FL_58,FL_71
282,FL_21|FL_16|FL_19|FL_14,FL_35|FL_32|FL_41,FL_52|FL_61,FL_74
283,FL_14|FL_21|FL_19|FL_16,FL_41|FL_38|FL_35,FL_55|FL_58,FL_71
284,FL_19|FL_14|FL_16|FL_21,FL_35|FL_32|FL_38,FL_52|FL_58,FL_71
286,FL_16|FL_19|FL_21|FL_14,FL_41|FL_38|FL_32,FL_58|FL_52,FL_65
290,FL_14|FL_19|FL_21|FL_16,FL_41|FL_38|FL_35,FL_58|FL_55,FL_68
291,FL_21|FL_16|FL_19|FL_14,FL_41|FL_35|FL_32,FL_52|FL_55,FL_68
292,FL_16|FL_14|FL_21|FL_19,FL_38|FL_41|FL_32,FL_61|FL_52,FL_65
289,FL_21|FL_14|FL_19|FL_16,FL_35|FL_32|FL_41,FL_52|FL_61,FL_74
288,FL_19|FL_21|FL_16|FL_14,FL_32|FL_35|FL_38,FL_58|FL_55,FL_68
295,FL_19|FL_16|FL_21|FL_14,FL_35|FL_38|FL_32,FL_58|FL_52,FL_65
281,FL_16|FL_19|FL_21|FL_14,,,
296,FL_14|FL_16|FL_19|FL_21,FL_38|FL_35|FL_41,FL_55|FL_61,FL_74
298,FL_16|FL_19|FL_14|FL_21,FL_41|FL_38|FL_32,FL_58|FL_52,FL_65
299,FL_16|FL_19|FL_14|FL_21,FL_38|FL_41|FL_32,FL_61|FL_52,FL_65
287,FL_14|FL_16|FL_21|FL_19,,,
293,FL_19|FL_14|FL_21|FL_16,FL_32|FL_35|FL_38,FL_58|FL_55,
294,FL_14|FL_16|FL_19|FL_21,FL_41|FL_38|FL_35,FL_58|FL_55,FL_68
298,FL_16|FL_21|FL_19|FL_14,,,
287,FL_16|FL_19|FL_14|FL_21,,,
301,FL_16|FL_19|FL_14|FL_21,FL_38|FL_32|FL_41,FL_52|FL_61,FL_74
304,FL_16|FL_14|FL_21|FL_19,FL_38|FL_41|FL_32,FL_61|FL_52,FL_65
303,FL_19|FL_14|FL_21|FL_16,FL_32|FL_38|FL_35,FL_58|FL_55,FL_68
302,FL_19|FL_16|FL_21|FL_14,FL_32|FL_38|FL_35,FL_55|FL_58,FL_71
300,FL_19|FL_14|FL_16|FL_21,FL_32|FL_38|FL_35,FL_55|FL_58,FL_71
305,FL_21|FL_19|FL_16|FL_14,FL_41|FL_32|FL_35,FL_55|FL_52,FL_65
