index,word1,word2,PKL_D(word1),PKL_R(word1),PKL_D(word2),PKL_R(word2),DIFF_SQ,LOGP_D(word1),LOGP_R(word1),LOGP_D(word2),LOGP_R(word2),P_D(word1),P_R(word1),P_D(word2),P_R(word2),google_valence_word1,google_valence_word2,pattern_valence_word1,pattern_valence_word2,crr_valence_word1,crr_valence_word2
22,companies,manufacturers,2.8875563425227355,-2.553924496059892,-0.5656308613592971,0.5915016339705433,2.566661663853716e-07,0.3257081385107053,-0.3257081385107051,-0.3941394759313738,0.3941394759313736,0.0008463120877398281,0.0006752780363210997,0.0001152621161375319,0.0001514727092889505,0.0,0.0,0.0,0.0,5.64,4.0
23,changes,reforms,0.5217646079148024,-0.6468319401466549,-2.27237466989261,5.185973452999195,4.632353264511745e-07,0.14387238805173047,-0.1438723880517304,-1.1976010739813558,1.1976010739813558,0.00038699255493176337,0.0003502617439346291,0.00017044385423837532,0.0003909265730750759,0.10000000149011612,0.0,0.0,0.0,5.09,5.05
24,able,willing,2.333169476651891,-2.3391451580009113,-0.984943232552966,1.1568825754822158,2.183693173701884e-07,0.15805659446395953,-0.15805659446395953,-0.3814555001024901,0.3814555001024902,0.0014178681061368145,0.0012707381180468245,0.00022130326298406126,0.0002882818928283719,0.10000000149011612,0.20000000298023224,0.5,0.25,6.64,6.83
25,values,principles,2.222831877145656,-1.4816362657183073,-0.560505393790531,0.570176411067686,1.251114574672116e-07,0.7791224977557683,-0.7791224977557685,-0.3627951745586445,0.3627951745586446,0.00027446791405249783,0.00015993824992785395,0.0001239067748478468,0.00015933356845364654,0.10000000149011612,0.0,0.0,0.0,7.18,5.45
26,underserved,rural,0.868267184582201,-0.3854462496797428,-0.866525343421084,0.9223668194753818,3.9650497274992446e-08,1.6946037692555855,-1.6946037692555855,-0.279788264351358,0.2797882643513581,5.186795226188936e-05,1.6024059066495765e-05,0.000262365391858057,0.00031851596653874125,0.0,0.0,0.0,0.0,,5.95
27,problems,problem,0.37334723076123016,-0.5242714700194768,-1.457666918551231,1.5191611466698467,7.981732295733843e-08,0.08444502808027787,-0.08444502808027785,-0.1473439413151234,0.14734394131512324,0.0004959152546817311,0.0004677211202994141,0.0008712375203545693,0.0009649204624664383,0.0,0.0,0.0,0.0,3.52,3.52
28,adopted,passed,1.114101731728048,-0.8931428024810744,-3.5003660845102162,4.279074391781107,5.317287136366132e-07,0.615458100689357,-0.6154581006893572,-0.28396513582917216,0.283965135829172,0.0001799529788197217,0.00011745937636478499,0.0011209240794374977,0.0013647660872860732,0.0,0.0,0.0,0.0,6.9,5.73
29,bad,good,0.6089305526741289,-0.7336951058335879,-4.378689885332891,5.148189970576601,7.627131173499225e-07,0.13423103366232053,-0.1342310336623206,-0.2167624547038167,0.21676245470381678,0.0004751680737769753,0.0004329519355324893,0.001845202401716714,0.0021443516779079473,-0.10000000149011612,0.5,-0.6999999999999998,0.7,3.24,7.89
30,cities,counties,1.1558184168502732,-0.9789663323604357,-0.7253229523421948,0.9359521003657223,6.053231012369774e-08,0.5203591320777486,-0.5203591320777488,-0.5834995638089855,0.5834995638089853,0.00022029471946785785,0.00015358909444867637,0.00010330367158826297,0.00015479845739709114,0.0,0.0,0.0,0.0,6.12,5.18
31,woman,man,3.416928584025472,-2.115451329270497,-2.7460576241938264,4.375678590866785,6.709919615898176e-07,0.8441935708847038,-0.8441935708847038,-0.6746785355229635,0.6746785355229634,0.0003848313902541847,0.00021435958260651879,0.0003678302281238987,0.0005871457114553731,0.0,0.0,0.0,0.0,7.09,5.42
32,undermine,destroy,5.41033207310525,-1.5519971917536444,-0.6984393714488428,0.9083442750723977,4.3220645292412213e-07,1.9630199051869706,-1.9630199051869701,-0.6048564331720526,0.6048564331720526,0.0002599160718901345,6.666613253136445e-05,9.552347874897957e-05,0.0001452747241783248,0.0,0.0,0.0,0.0,3.05,2.67
