ID,101,102,105,107,110,113,114,116,119,120,128,130,135,139,140,141,143,145,147,149,150,151,154,156,158,159,166,167,170,174,175,181,182,185,186,190,191,194,197,199,Condition,order,atc_passed,ident
38,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,centimeter,tablespoon,liter,megabyte,gigahertz,thousand,big,wide,REPUBLICAN,3,True,REPUBLICAN
39,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicide,deficiency,killer,funeral,nightmare,rapist,difficulties,crime,failure,death,proposal,site,region,instruction,particle,predecessor,affiliation,referrals,pillar,town,second,mile,centimeter,teaspoon,cup,gigabyte,hertz,thousand,small,narrow,DEMOCRAT,1,True,REPUBLICAN
40,paycheck,girls,achievements,relationship,songs,friendship,victory,miracle,winner,bonuses,homicide,deficiencies,killer,funerals,nightmare,rapists,difficulty,crimes,failures,deaths,proposal,sites,region,instructions,particle,predecessor,affiliations,referrals,pillars,towns,second,yard,kilometer,teaspoon,liter,megabyte,gigahertz,hundred,big,narrow,DEMOCRAT,1,False,REPUBLICAN
41,paychecks,girls,achievement,relationships,-99,friendships,victories,miracles,winners,bonuses,homicide,deficiencies,killer,funeral,nightmare,rapist,difficulties,crime,failure,death,proposals,sites,regions,instructions,particles,predecessor,affiliations,referral,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,2,True,DEMOCRAT
42,paychecks,girl,achievements,relationship,song,friendships,victories,miracle,winners,bonuses,homicide,deficiencies,killer,funeral,nightmare,rapist,difficulty,crimes,failure,death,proposals,site,regions,instructions,particle,predecessors,affiliations,referrals,pillars,town,second,yard,centimeter,teaspoon,liter,megabyte,hertz,thousand,big,wide,REPUBLICAN,3,True,REPUBLICAN
43,paycheck,girl,achievements,relationship,songs,friendship,victories,miracles,winners,bonuses,homicide,deficiency,killer,funerals,nightmare,rapists,difficulties,crime,failure,deaths,proposal,sites,regions,instructions,particles,predecessor,affiliations,referrals,pillar,town,-99,yard,kilometer,teaspoon,liter,gigabyte,gigahertz,hundred,big,narrow,REPUBLICAN,2,True,DEMOCRAT
44,paychecks,girls,achievements,relationships,song,friendships,victories,miracles,winner,bonus,homicides,deficiencies,killers,funerals,nightmare,rapist,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessor,affiliations,referrals,pillar,town,minute,mile,kilometer,tablespoon,cup,megabyte,hertz,thousand,big,wide,DEMOCRAT,1,True,REPUBLICAN
45,paychecks,girls,achievements,relationships,song,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funeral,nightmare,rapists,difficulties,crimes,failure,death,proposals,sites,region,instructions,particles,predecessor,affiliations,referrals,pillars,towns,minute,mile,centimeter,teaspoon,cup,gigabyte,gigahertz,thousand,small,narrow,REPUBLICAN,3,True,REPUBLICAN
46,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonus,homicide,deficiency,killers,funeral,nightmare,rapist,difficulty,crimes,failure,deaths,proposals,sites,regions,instruction,particles,predecessor,affiliation,referral,pillars,towns,minute,yard,kilometer,tablespoon,cup,megabyte,hertz,hundred,big,narrow,REPUBLICAN,3,True,REPUBLICAN
47,paychecks,girl,achievement,relationship,song,friendship,victories,miracle,winners,bonuses,homicides,deficiencies,killers,funeral,nightmares,rapist,difficulties,crimes,failures,death,proposal,sites,regions,instruction,particles,predecessors,affiliation,referrals,pillar,towns,second,mile,centimeter,tablespoon,cup,megabyte,hertz,thousand,small,narrow,REPUBLICAN,1,True,DEMOCRAT
48,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,cup,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,1,True,DEMOCRAT
49,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,second,yard,centimeter,teaspoon,cup,megabyte,hertz,hundred,small,narrow,DEMOCRAT,1,True,REPUBLICAN
50,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulty,crimes,failures,deaths,proposal,sites,region,instructions,particle,predecessors,affiliations,referral,pillar,towns,second,yard,kilometer,tablespoon,cup,megabyte,hertz,thousand,small,wide,REPUBLICAN,3,True,DEMOCRAT
51,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,-99,pillars,towns,minute,mile,kilometer,tablespoon,liter,megabyte,hertz,thousand,big,wide,REPUBLICAN,2,True,REPUBLICAN
52,-99,girls,achievement,relationships,songs,friendships,victory,miracle,winner,bonuses,homicide,deficiency,killers,funeral,nightmare,rapist,difficulties,crimes,failures,deaths,proposals,sites,regions,instruction,particles,predecessor,affiliation,referrals,pillar,towns,minute,mile,centimeter,tablespoon,cup,gigabyte,gigahertz,thousand,small,narrow,REPUBLICAN,1,True,DEMOCRAT
