,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,age,gender,party,party_identity,political_engagement,education,voted,political_bubble,atn,pair0,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,pair11,pair12,pair13,pair14,pair15,pair16,pair17,pair18,pair19,pair20,pair21,pair22,pair23,pair24,pair25
43,2.0,2.0,2,2,3,3,2,4,2,3,2,2,3.0,2.0,3.0,3,2,2,3,3,4,2,3,2,2.0,4,36,Female,Democrat,1.0,1,2,1.0,70.0,ATTENTION,comprehensive,wealth,employees,contribute,values,assault,acknowledge,terror,respond,gain,potentially,happy,monetary,kinds,end,criminal,spoke,reforms,mother,responsibility,barriers,indicated,excessive,conversation,maintain,fundamental
44,1.0,3.0,3,1,4,4,3,1,3,2,3,2,4.0,2.0,1.0,3,2,4,2,1,4,3,4,3,1.0,1,31,Female,Independent,-3.0,-2,4,1.0,51.0,ATTENTION,comprehensive,wealth,employees,give,values,attack,acknowledge,fear,answer,gain,possibly,glad,financial,types,finish,criminal,talked,reforms,mother,responsibility,barriers,indicated,outrageous,discussion,preserve,basic
45,1.0,3.0,2,1,3,4,1,3,2,1,2,1,3.0,4.0,3.0,3,3,1,3,3,2,3,4,1,3.0,4,42,Male,Democrat,1.0,1,4,1.0,96.0,ATTENTION,complete,prosperity,workers,give,principles,attack,acknowledge,fear,answer,profit,possibly,glad,financial,types,finish,illegal,talked,changes,mom,duty,walls,announced,outrageous,discussion,preserve,basic
46,3.0,4.0,1,2,3,1,3,1,2,4,2,2,4.0,2.0,3.0,3,2,2,3,3,3,2,1,1,2.0,2,57,Male,Independent,-2.0,-1,4,1.0,60.0,"yes, I was paying ATTENTION",comprehensive,wealth,employees,give,principles,assault,acknowledge,fear,respond,gain,potentially,happy,monetary,types,end,criminal,talked,changes,mom,duty,barriers,announced,outrageous,conversation,preserve,basic
47,2.0,4.0,1,1,2,4,1,4,1,4,2,2,4.0,3.0,2.0,4,2,1,1,3,5,2,4,1,2.0,4,40,Male,Independent,-3.0,3,4,1.0,60.0,ATTENTION,complete,prosperity,workers,contribute,principles,assault,recognize,terror,respond,profit,potentially,happy,monetary,kinds,end,illegal,spoke,changes,mom,duty,walls,announced,excessive,conversation,maintain,fundamental
48,1.0,5.0,1,0,4,4,3,0,4,3,2,4,0.0,1.0,2.0,5,0,1,3,5,4,2,0,3,4.0,1,55,Male,Other party (please specify),2.0,2,3,1.0,2.0,I was paying ATTENTION.,complete,wealth,workers,give,principles,attack,recognize,fear,answer,gain,potentially,happy,monetary,types,finish,illegal,talked,changes,mother,responsibility,barriers,announced,outrageous,conversation,preserve,basic
50,2.0,2.0,2,1,4,3,2,3,2,3,2,2,3.0,2.0,3.0,3,2,2,3,3,4,2,3,3,2.0,2,33,Male,Democrat,2.0,2,4,1.0,100.0,ATTENTION,comprehensive,prosperity,employees,give,values,attack,acknowledge,terror,respond,gain,possibly,happy,financial,kinds,end,criminal,spoke,reforms,mom,duty,walls,indicated,excessive,discussion,maintain,fundamental
51,3.0,2.0,1,2,5,3,4,4,2,3,2,3,4.0,1.0,4.0,4,1,2,2,4,4,2,1,2,4.0,4,31,Male,Independent,-3.0,3,6,1.0,30.0,ATTENTION,comprehensive,wealth,workers,contribute,values,attack,recognize,terror,respond,gain,potentially,happy,financial,types,finish,criminal,spoke,reforms,mom,responsibility,walls,indicated,excessive,conversation,maintain,fundamental
52,2.0,2.0,3,2,3,3,2,3,2,3,2,2,3.0,2.0,3.0,3,2,2,2,3,4,3,3,2,4.0,2,39,Male,Democrat,1.0,1,4,1.0,60.0,ATTENTION,comprehensive,wealth,workers,contribute,principles,assault,recognize,terror,answer,profit,possibly,glad,monetary,types,end,criminal,spoke,reforms,mother,responsibility,walls,announced,outrageous,conversation,preserve,basic
53,2.0,4.0,1,0,4,0,2,1,4,5,1,1,5.0,0.0,4.0,5,2,0,1,5,0,3,4,1,4.0,4,67,Male,Independent,-3.0,3,5,1.0,30.0,ATTENTION,complete,prosperity,employees,contribute,values,assault,acknowledge,fear,respond,profit,potentially,glad,monetary,kinds,finish,illegal,talked,changes,mom,duty,barriers,indicated,excessive,discussion,maintain,fundamental
54,3.0,1.0,1,2,5,5,3,5,2,4,2,3,4.0,3.0,3.0,5,3,1,5,4,5,2,2,2,4.0,3,28,Male,Democrat,-1.0,0,4,1.0,51.0,ATTENTION,complete,wealth,workers,contribute,values,attack,acknowledge,terror,respond,profit,potentially,glad,monetary,types,end,criminal,talked,reforms,mother,responsibility,barriers,indicated,outrageous,conversation,maintain,basic
